Ball,Number
first,12
first,30
first,18
first,4
first,4
first,5
first,21
first,8
first,9
first,9
first,14
first,1
first,2
first,30
first,2
first,3
first,8
first,1
first,13
first,7
first,28
first,16
first,2
first,4
first,22
first,9
first,2
first,9
first,10
first,2
first,6
first,21
first,7
first,22
first,3
first,9
first,6
first,13
first,10
first,1
first,4
first,1
first,11
first,7
first,17
first,13
first,3
first,5
first,10
first,6
first,3
first,3
first,2
first,3
first,15
first,12
first,5
first,5
first,11
first,14
first,3
first,11
first,8
first,9
first,10
first,11
first,26
first,18
first,36
first,11
first,1
first,5
first,15
first,8
first,7
first,13
first,3
first,5
first,22
first,8
first,3
first,8
first,32
first,32
first,4
first,1
first,22
first,3
first,4
first,1
first,2
first,18
first,15
first,17
first,14
first,13
first,2
first,1
first,3
first,24
first,6
first,4
first,8
first,25
first,1
first,22
first,14
first,6
first,4
first,3
first,19
first,3
first,5
first,3
first,9
first,2
first,4
first,5
first,3
first,14
first,7
first,6
first,1
first,11
first,8
first,7
first,18
first,19
first,9
first,9
first,13
first,4
first,8
first,3
first,10
first,1
first,9
first,7
first,31
first,4
first,6
first,20
first,14
first,16
first,5
first,1
first,5
first,11
first,1
first,32
first,11
first,1
first,5
first,12
first,29
first,1
first,6
first,7
first,23
first,11
first,1
first,17
first,15
first,8
first,5
first,4
first,12
first,6
first,10
first,5
first,3
first,21
first,5
first,16
first,14
first,10
first,13
first,2
first,4
first,3
first,5
first,2
first,20
first,4
first,9
first,13
first,4
first,5
first,2
first,12
first,11
first,1
first,3
first,16
first,5
first,10
first,3
first,7
first,1
first,30
first,3
first,12
first,6
first,16
first,4
first,3
first,15
first,13
first,2
first,9
first,2
first,18
first,9
first,11
first,25
first,13
first,20
first,38
first,1
first,1
first,24
first,8
first,1
first,11
first,1
first,24
first,18
first,12
first,12
first,19
first,16
first,14
first,17
first,8
first,12
first,4
first,2
first,7
first,8
first,9
first,2
first,3
first,6
first,4
first,3
first,9
first,21
first,4
first,5
first,10
first,6
first,19
first,4
first,5
first,3
first,28
first,1
first,12
first,2
first,7
first,4
first,29
first,3
first,9
first,11
first,7
first,15
first,3
first,24
first,4
first,30
first,22
first,9
first,19
first,6
first,22
first,18
first,3
first,1
first,11
first,4
first,10
first,1
first,8
first,13
first,5
first,10
first,8
first,10
first,14
first,17
first,5
first,7
first,34
first,1
first,20
first,2
first,7
first,11
first,12
first,2
first,14
first,12
first,13
first,8
first,10
first,1
first,7
first,7
first,10
first,11
first,17
first,4
first,16
first,7
first,4
first,9
first,7
first,4
first,19
first,1
first,1
first,20
first,16
first,22
first,20
first,20
first,10
first,3
first,6
first,13
first,11
first,9
first,8
first,9
first,14
first,18
first,4
first,1
first,1
first,19
first,2
first,15
first,37
first,5
first,13
first,16
first,12
first,1
first,11
first,5
first,6
first,21
first,4
first,10
first,5
first,7
first,14
first,9
first,24
first,6
first,17
first,10
first,7
first,18
first,4
first,13
first,7
first,10
first,5
first,14
first,17
first,35
first,16
first,12
first,1
first,4
first,11
first,3
first,2
first,11
first,6
first,44
first,8
first,19
first,4
first,13
first,8
first,24
first,26
first,8
first,1
first,33
first,15
first,27
first,1
first,25
first,1
first,5
first,7
first,12
first,6
first,35
first,16
first,17
first,27
first,12
first,3
first,10
first,32
first,11
first,9
first,20
first,37
first,1
first,5
first,37
first,20
first,22
first,21
first,2
first,28
first,12
first,1
first,12
first,11
first,23
first,30
first,30
first,7
first,10
first,10
first,3
first,5
first,9
first,1
first,8
first,21
first,19
first,8
first,5
first,3
first,40
first,7
first,10
first,8
first,18
first,12
first,10
first,3
first,3
first,3
first,10
first,19
first,2
first,2
first,7
first,27
first,36
first,2
first,6
first,2
first,6
first,20
first,14
first,12
first,3
first,9
first,11
first,8
first,11
first,4
first,2
first,10
first,18
first,5
first,5
first,2
first,8
first,16
first,22
first,3
first,2
first,6
first,15
first,7
first,19
first,8
first,10
first,13
first,21
first,3
first,8
first,1
first,31
first,2
first,11
first,3
first,6
first,2
first,6
first,5
first,14
first,15
first,8
first,20
first,10
first,12
first,11
first,14
first,18
first,37
first,4
first,18
first,5
first,6
first,7
first,40
first,14
first,1
first,19
first,2
first,27
first,11
first,14
first,2
first,22
first,18
first,2
first,19
first,10
first,3
first,6
first,6
first,11
first,8
first,9
first,15
first,32
first,14
first,4
first,22
first,3
first,14
first,10
first,39
first,25
first,1
first,4
first,15
first,9
first,8
first,32
first,29
first,19
first,20
first,23
first,5
first,12
first,6
first,2
first,13
first,7
first,18
first,4
first,3
first,38
first,6
first,9
first,5
first,7
first,6
first,3
first,13
first,6
first,8
first,2
first,26
first,13
first,3
first,14
first,32
first,19
first,6
first,19
first,18
first,19
first,19
first,13
first,2
first,28
first,7
first,16
first,19
first,28
first,7
first,1
first,1
first,15
first,29
second,21
second,18
second,31
second,24
second,18
second,37
second,10
second,3
second,20
second,28
second,6
second,32
second,16
second,15
second,15
second,5
second,54
second,57
second,12
second,31
second,4
second,14
second,54
second,23
second,32
second,13
second,24
second,43
second,4
second,20
second,26
second,19
second,20
second,53
second,8
second,33
second,2
second,37
second,16
second,39
second,28
second,15
second,8
second,33
second,28
second,40
second,31
second,18
second,11
second,38
second,6
second,9
second,14
second,10
second,12
second,35
second,16
second,30
second,21
second,25
second,36
second,17
second,14
second,17
second,17
second,52
second,21
second,4
