Ball,Number
third,31
third,26
third,35
third,21
third,17
third,39
third,31
third,24
third,44
third,42
third,30
third,12
third,25
third,18
third,7
third,42
third,36
third,45
third,25
third,37
third,29
third,42
third,25
third,35
third,10
third,31
third,28
third,28
third,34
third,39
third,39
third,41
third,31
third,16
third,11
third,22
third,29
third,29
third,42
third,45
third,44
third,26
third,19
third,12
third,41
third,31
third,23
third,34
third,28
third,24
third,9
third,25
third,17
third,13
third,35
third,14
third,49
third,34
third,32
third,15
third,28
third,18
third,7
third,19
third,9
third,33
third,39
third,37
third,40
third,44
third,38
third,40
third,37
third,32
third,13
third,32
third,11
third,44
third,50
third,43
third,23
third,37
third,50
third,37
third,10
third,24
third,40
third,34
third,31
third,54
third,28
third,26
third,19
third,17
third,25
third,52
third,17
third,45
third,22
third,25
third,33
third,22
third,26
third,25
third,9
third,25
third,42
third,46
third,17
third,14
third,30
third,36
third,39
third,40
third,40
third,27
third,34
third,22
third,45
third,35
third,29
third,30
third,33
third,23
third,47
third,40
third,23
third,22
third,33
third,33
third,17
third,19
third,35
third,14
third,26
third,19
third,26
third,26
third,31
third,48
third,31
third,30
third,36
third,31
third,40
third,8
third,8
third,26
third,43
third,31
third,17
third,21
third,28
third,40
third,23
third,13
third,20
third,31
third,19
third,46
third,25
third,16
third,36
third,33
third,32
third,26
third,24
third,29
third,28
third,21
third,20
third,49
third,28
third,50
third,23
third,35
third,20
third,40
third,25
third,26
third,19
third,19
third,22
third,37
third,24
third,27
third,30
third,50
third,45
third,9
third,31
third,34
third,21
third,28
third,10
third,25
third,29
third,34
third,36
third,28
third,39
third,18
third,8
third,26
third,36
third,34
third,26
third,21
third,49
third,7
third,31
third,41
third,46
third,39
third,11
third,48
third,48
third,13
third,35
third,38
third,20
third,32
third,36
third,29
third,35
third,20
third,40
third,41
third,29
third,15
third,14
third,45
third,33
third,17
third,24
third,41
third,26
third,35
third,21
third,35
third,11
third,20
third,33
third,40
third,29
third,20
third,39
third,16
third,42
third,17
third,33
third,36
third,29
third,35
third,53
third,49
third,41
third,17
third,45
third,45
third,11
third,42
third,17
third,50
third,32
third,37
third,38
third,43
third,17
third,41
third,28
third,43
third,34
third,36
third,29
third,24
third,46
third,25
third,27
third,30
third,15
third,49
third,46
third,33
third,20
third,33
third,34
third,39
third,35
third,17
third,25
third,36
third,57
third,39
third,34
third,40
third,21
third,23
third,35
third,24
third,23
third,35
third,43
third,23
third,50
third,12
third,48
third,22
third,42
third,22
third,18
third,52
third,35
third,25
third,47
third,23
third,31
third,35
third,36
third,54
third,21
third,41
third,41
third,27
third,38
third,48
third,19
third,11
third,24
third,18
third,45
third,39
third,19
third,22
third,38
third,27
third,44
third,39
third,38
third,43
third,31
third,40
third,13
third,18
third,32
third,27
third,27
third,15
third,40
third,47
third,34
third,44
third,39
third,32
third,41
third,34
third,42
third,11
third,26
third,20
third,40
third,12
third,28
third,31
third,50
third,17
third,36
third,34
third,21
third,36
third,39
third,41
third,33
third,45
third,36
third,34
third,51
third,22
third,23
third,26
third,32
third,37
third,18
third,38
third,44
third,19
third,18
third,10
third,25
third,27
third,11
third,37
third,21
third,38
third,53
third,48
third,11
third,23
third,39
third,27
third,25
third,16
third,20
third,15
third,32
third,32
third,37
third,30
third,51
third,27
third,36
third,37
third,21
third,20
third,39
third,22
third,21
third,27
third,29
third,12
third,33
third,36
third,22
third,26
third,30
third,17
third,20
third,38
third,30
third,35
third,23
third,27
third,44
third,14
third,43
third,32
third,45
third,31
third,18
third,13
third,27
third,40
third,14
third,24
third,10
third,40
third,29
third,23
third,52
third,34
third,40
third,25
third,25
third,53
third,41
third,22
third,32
third,49
third,40
third,31
third,17
third,32
third,24
third,39
third,45
third,20
third,37
third,33
third,14
third,51
third,35
third,37
third,19
third,30
third,29
third,52
third,36
third,47
third,28
third,20
third,20
third,37
third,55
third,27
third,21
third,22
third,11
third,54
third,34
third,34
third,35
third,40
third,39
third,50
third,41
third,30
third,29
third,52
third,38
third,44
third,11
third,53
third,22
third,32
third,36
third,20
third,49
third,51
third,36
third,47
third,54
third,26
third,45
third,29
third,40
third,22
third,41
third,38
third,50
third,18
third,39
third,54
third,47
third,37
third,39
third,11
third,42
third,54
third,52
third,30
third,33
third,47
third,41
third,48
third,36
third,51
third,29
third,26
third,28
third,34
third,24
third,48
third,47
third,43
third,26
third,34
third,48
third,48
third,29
third,32
third,55
third,28
third,38
third,45
third,38
third,33
third,44
third,37
third,40
third,24
third,23
third,19
third,45
third,45
third,9
third,39
third,32
third,25
third,36
third,18
third,22
third,37
third,35
third,43
third,33
third,30
third,38
third,38
third,51
third,33
third,27
third,38
third,33
third,21
third,27
third,40
third,15
third,37
third,21
third,36
third,39
third,48
third,37
third,55
third,34
third,32
third,34
third,18
third,26
third,37
third,50
third,39
third,21
third,47
third,39
third,45
third,24
third,41
third,32
third,55
third,45
third,47
third,20
third,61
third,37
third,33
third,55
third,6
third,35
third,61
third,41
third,22
third,58
third,25
third,37
third,39
third,50
third,51
third,56
third,36
third,35
third,43
third,26
third,42
third,41
third,40
third,61
third,31
third,20
third,18
third,49
third,37
third,24
third,49
third,42
third,34
third,36
third,23
third,36
third,23
third,54
third,38
third,44
third,57
third,31
third,56
third,46
third,51
third,59
third,35
third,47
third,41
third,11
third,34
third,35
third,56
third,43
third,19
third,49
third,32
third,30
third,56
third,16
third,20
third,36
third,36
third,34
third,21
third,31
third,24
third,22
third,22
third,33
third,53
third,11
third,41
third,40
third,36
third,15
third,48
third,35
third,37
third,40
third,36
third,22
third,53
third,24
third,44
third,53
third,51
third,62
third,40
third,31
third,47
third,32
fourth,36
fourth,49
fourth,43
fourth,53
fourth,40
fourth,53
fourth,37
fourth,44
fourth,45
fourth,40
fourth,42
fourth,45
fourth,48
fourth,45
fourth,32
fourth,43
fourth,60
fourth,60
fourth,44
fourth,41
fourth,48
fourth,47
fourth,63
fourth,61
fourth,43
fourth,39
fourth,35
fourth,61
fourth,41
fourth,60
fourth,45
fourth,25
fourth,65
fourth,68
fourth,27
fourth,42
fourth,52
fourth,64
fourth,49
fourth,63
fourth,63
fourth,32
fourth,32
fourth,53
fourth,44
fourth,50
fourth,52
fourth,44
fourth,56
fourth,61
fourth,42
fourth,27
fourth,39
fourth,55
fourth,39
fourth,51
fourth,50
fourth,45
fourth,41
fourth,63
fourth,59
fourth,52
fourth,47
fourth,51
fourth,53
fourth,60
fourth,27
fourth,20
fourth,29
fourth,47
fourth,42
fourth,55
fourth,45
fourth,36
fourth,40
fourth,57
fourth,43
fourth,40
fourth,61
fourth,44
fourth,58
fourth,62
fourth,62
fourth,36
fourth,60
fourth,53
fourth,56
fourth,33
fourth,63
fourth,64
fourth,50
fourth,52
fourth,68
fourth,41
fourth,58
fourth,64
fourth,21
fourth,42
fourth,39
fourth,56
fourth,48
fourth,50
fourth,58
fourth,61
fourth,47
fourth,40
fourth,56
fourth,36
fourth,42
fourth,48
fourth,40
fourth,48
fourth,55
fourth,39
fourth,59
fourth,59
fourth,30
fourth,50
fourth,33
fourth,60
fourth,50
fourth,36
fourth,61
fourth,19
fourth,36
fourth,55
fourth,59
fourth,41
fourth,57
fourth,31
fourth,36
fourth,59
fourth,56
fourth,55
fourth,31
fourth,43
fourth,25
fourth,59
fourth,59
fourth,30
fourth,50
fourth,39
fourth,32
fourth,44
fourth,62
fourth,51
fourth,63
fourth,53
fourth,61
fourth,40
fourth,55
fourth,28
fourth,38
fourth,62
fourth,37
fourth,56
fourth,54
fourth,61
fourth,59
fourth,63
fourth,53
fourth,43
fourth,51
fourth,43
fourth,51
fourth,45
fourth,36
fourth,47
fourth,36
fourth,53
fourth,42
fourth,52
fourth,56
fourth,41
fourth,21
fourth,29
fourth,30
fourth,51
fourth,58
fourth,53
fourth,66
fourth,55
fourth,48
fourth,53
fourth,64
fourth,60
fourth,35
fourth,44
fourth,46
fourth,50
fourth,59
fourth,22
fourth,14
fourth,26
fourth,16
fourth,42
fourth,48
fourth,34
fourth,45
fourth,42
fourth,43
fourth,44
fourth,66
fourth,61
fourth,37
fourth,64
fourth,30
fourth,56
fourth,45
fourth,36
fourth,63
fourth,46
fourth,32
fourth,39
fourth,59
fourth,32
fourth,64
fourth,44
fourth,60
fourth,53
fourth,53
fourth,47
fourth,55
fourth,35
fourth,27
fourth,49
fourth,20
fourth,51
fourth,48
fourth,24
fourth,7
fourth,38
fourth,43
fourth,29
fourth,21
fourth,48
fourth,65
fourth,56
fourth,57
fourth,49
fourth,27
fourth,46
fourth,53
fourth,52
fourth,40
fourth,37
fourth,52
fourth,29
fourth,46
fourth,37
fourth,55
fourth,68
fourth,56
fourth,38
fourth,52
fourth,62
fourth,53
fourth,42
fourth,32
fourth,40
fourth,19
fourth,53
fourth,62
fourth,68
fourth,43
fourth,42
fourth,53
fourth,63
fourth,59
fourth,30
fourth,64
fourth,50
fourth,24
fourth,63
fourth,32
fourth,59
fourth,61
fourth,57
fourth,57
fourth,47
fourth,61
fourth,47
fourth,62
fourth,43
fourth,44
fourth,38
fourth,56
fourth,44
fourth,58
fourth,28
fourth,49
fourth,46
fourth,45
fourth,41
fourth,42
fourth,62
fourth,45
fourth,27
fourth,58
fourth,45
fourth,25
fourth,53
fourth,44
fourth,46
fourth,45
fourth,61
fourth,17
fourth,22
fourth,55
fourth,50
fourth,57
fourth,40
fourth,45
fourth,56
fourth,62
fourth,17
fourth,61
fourth,55
fourth,38
fourth,54
fourth,55
fourth,52
fourth,53
fourth,29
fourth,60
fourth,41
fourth,61
fourth,36
fourth,36
fourth,65
fourth,62
fourth,34
fourth,44
fourth,46
fourth,41
fourth,40
fourth,48
fourth,46
fourth,47
fourth,33
fourth,49
fourth,51
fourth,58
fourth,49
fourth,29
fourth,39
fourth,51
fourth,56
fourth,15
fourth,64
fourth,50
fourth,51
fourth,55
fourth,55
fourth,36
fourth,59
fourth,53
fourth,51
fourth,32
fourth,48
fourth,30
fourth,21
fourth,48
fourth,26
fourth,57
fourth,54
fourth,45
fourth,66
fourth,66
fourth,19
fourth,63
fourth,63
fourth,41
fourth,23
fourth,56
fourth,67
fourth,25
fourth,57
fourth,57
fourth,58
fourth,52
fourth,67
fourth,38
fourth,23
fourth,43
fourth,60
fourth,35
fourth,47
fourth,33
fourth,63
fourth,45
fourth,42
fourth,53
fourth,61
fourth,64
fourth,23
fourth,40
fourth,54
fourth,48
fourth,53
fourth,36
fourth,65
fourth,53
fourth,57
fourth,66
fourth,41
fourth,46
fourth,55
fourth,38
fourth,47
fourth,45
fourth,63
fourth,56
fourth,41
fourth,59
fourth,45
fourth,26
fourth,48
fourth,40
fourth,45
fourth,63
fourth,53
fourth,53
fourth,44
fourth,36
fourth,45
fourth,29
fourth,54
fourth,48
fourth,50
fourth,46
fourth,22
fourth,52
fourth,62
fourth,52
fourth,31
fourth,38
fourth,37
fourth,49
fourth,17
fourth,60
fourth,49
fourth,66
fourth,52
fourth,53
fourth,64
fourth,16
fourth,37
fourth,41
fourth,57
fourth,44
fourth,51
fourth,54
fourth,40
fourth,39
fourth,44
fourth,53
fourth,27
fourth,25
fourth,37
fourth,47
fourth,43
fourth,63
fourth,27
fourth,31
fourth,51
fourth,54
fourth,42
fourth,48
fourth,55
fourth,43
fourth,64
fourth,37
fourth,64
fourth,29
fourth,61
fourth,53
fourth,29
fourth,67
fourth,55
fourth,28
fourth,55
fourth,33
fourth,59
fourth,56
fourth,49
fourth,64
fourth,60
fourth,50
fourth,64
fourth,64
fourth,47
fourth,66
fourth,23
fourth,65
fourth,35
fourth,58
fourth,50
fourth,54
fourth,61
fourth,57
fourth,59
fourth,60
fourth,56
fourth,43
fourth,53
fourth,31
fourth,41
fourth,60
fourth,43
fourth,40
fourth,58
fourth,59
fourth,23
fourth,54
fourth,64
fourth,66
fourth,44
fourth,66
fourth,32
fourth,39
fourth,59
fourth,52
fourth,32
fourth,38
fourth,41
fourth,60
fourth,40
fourth,55
fourth,52
fourth,22
fourth,54
fourth,46
fourth,57
fourth,34
fourth,59
fourth,52
fourth,22
fourth,65
fourth,16
fourth,29
fourth,19
fourth,50
fourth,36
fourth,60
fourth,31
fourth,52
fourth,40
fourth,47
fourth,61
fourth,27
fourth,34
fourth,62
fourth,29
fourth,54
fourth,59
fourth,63
fourth,59
fourth,42
fourth,30
fourth,46
fourth,47
fourth,32
fourth,66
fourth,58
fourth,52
fourth,46
fourth,45
fourth,55
fourth,50
fourth,20
fourth,47
fourth,62
fourth,60
fourth,56
fourth,62
fourth,31
fourth,43
fourth,48
fourth,44
fourth,55
fourth,50
fourth,51
fourth,43
fourth,31
fourth,16
fourth,50
fourth,29
fourth,46
fourth,28
fourth,45
fourth,21
fourth,48
fourth,42
fourth,38
fourth,52
fourth,16
fourth,49
fourth,28
fourth,41
fourth,44
fourth,45
fourth,45
fourth,52
fourth,27
fourth,18
fourth,31
fourth,46
fourth,22
fourth,20
fourth,41
fourth,52
fourth,49
fourth,27
fourth,37
fourth,56
fourth,53
fourth,31
fourth,35
fourth,48
fourth,31
fourth,35
fourth,39
fourth,30
fourth,38
fourth,38
fourth,39
fourth,29
fourth,29
fourth,42
fourth,46
fourth,41
fourth,39
fourth,12
fourth,50
fourth,38
fourth,33
fourth,46
fourth,40
fourth,42
fourth,35
fourth,28
fourth,32
fourth,34
fourth,32
fourth,45
fourth,39
fourth,34
fourth,52
fourth,26
fourth,36
fourth,29
fourth,28
fourth,27
fourth,41
fourth,28
fourth,49
fourth,46
fourth,40
fourth,14
fourth,47
fourth,31
fourth,47
fourth,43
fourth,54
fourth,43
fourth,46
fourth,42
fourth,46
fourth,54
fourth,48
fourth,35
fourth,52
fourth,38
fourth,21
fourth,25
fourth,57
fourth,54
fourth,42
fourth,36
fourth,27
fourth,38
fourth,46
fourth,25
fourth,20
fourth,52
fourth,24
fourth,37
fourth,48
fourth,37
fourth,40
fourth,43
fourth,45
fourth,52
fourth,45
fourth,36
fourth,38
fourth,48
fourth,40
fourth,34
fourth,28
fourth,46
fourth,49
fourth,38
fourth,22
fourth,45
fourth,26
fourth,23
fourth,55
fourth,57
fourth,53
fourth,50
fourth,41
fourth,52
fourth,45
fourth,33
fourth,58
fourth,22
fourth,34
fourth,32
fourth,49
fourth,39
fourth,47
fourth,52
fourth,47
fourth,48
fourth,46
fourth,19
fourth,30
fourth,36
fourth,35
fourth,44
fourth,54
fourth,48
fourth,33
fourth,22
fourth,27
fourth,44
fourth,55
fourth,34
fourth,51
fourth,37
fourth,32
fourth,26
fourth,30
fourth,38
fourth,14
fourth,49
fourth,21
fourth,52
fourth,37
fourth,57
fourth,27
fourth,32
fourth,55
fourth,9
fourth,31
fourth,24
fourth,48
fourth,47
fourth,41
fourth,48
fourth,51
fourth,39
fourth,45
fourth,39
fourth,33
fourth,18
fourth,45
fourth,31
fourth,45
fourth,55
fourth,52
fourth,32
fourth,44
fourth,55
fourth,49
fourth,15
fourth,27
fourth,49
fourth,49
fourth,34
fourth,56
fourth,34
fourth,57
fourth,33
fourth,39
fourth,42
fourth,53
fourth,49
fourth,54
fourth,32
fourth,37
fourth,42
fourth,26
fourth,45
fourth,40
fourth,19
fourth,45
fourth,46
fourth,54
fourth,43
fourth,37
fourth,58
fourth,42
fourth,49
fourth,53
fourth,44
fourth,38
fourth,38
fourth,35
fourth,55
fourth,36
fourth,40
fourth,53
fourth,39
fourth,33
fourth,52
fourth,48
fourth,42
fourth,26
fourth,36
fourth,53
fourth,49
fourth,21
fourth,41
fourth,22
fourth,34
fourth,23
fourth,30
fourth,36
fourth,54
fourth,54
fourth,56
fourth,39
fourth,48
fourth,56
fourth,52
fourth,29
fourth,12
fourth,46
fourth,48
fourth,52
fourth,43
fourth,44
fourth,32
fourth,46
fourth,41
fourth,41
fourth,34
fourth,39
fourth,25
fourth,50
fourth,27
fourth,36
fourth,38
fourth,40
fourth,47
fourth,41
fourth,43
fourth,34
fourth,32
fourth,23
fourth,27
fourth,51
fourth,35
fourth,52
fourth,43
fourth,39
fourth,23
fourth,44
fourth,36
fourth,40
fourth,27
fourth,36
fourth,23
fourth,44
fourth,30
fourth,58
fourth,44
fourth,54
fourth,52
fourth,30
fourth,45
fourth,36
fourth,23
fourth,31
fourth,23
fourth,26
fourth,35
fourth,36
fourth,55
fourth,29
fourth,41
fourth,40
fourth,39
fourth,43
fourth,48
fourth,44
fourth,42
fourth,44
fourth,54
fourth,20
fourth,47
fourth,55
fourth,51
fourth,46
fourth,15
fourth,53
fourth,56
fourth,36
fourth,38
fourth,54
fourth,23
fourth,37
fourth,49
fourth,39
fourth,39
fourth,41
fourth,46
fourth,44
fourth,56
fourth,16
fourth,33
fourth,56
fourth,48
fourth,29
fourth,52
fourth,49
fourth,53
fourth,46
fourth,28
fourth,53
fourth,55
fourth,44
fourth,38
fourth,57
fourth,34
fourth,42
fourth,46
fourth,19
fourth,44
fourth,20
fourth,45
fourth,54
fourth,50
fourth,37
fourth,55
fourth,55
fourth,46
fourth,20
fourth,46
fourth,47
fourth,23
fourth,53
fourth,39
fourth,56
fourth,52
fourth,52
fourth,39
fourth,45
fourth,34
fourth,54
fourth,29
fourth,44
fourth,44
fourth,38
fourth,45
fourth,38
fourth,47
fourth,28
fourth,41
fourth,51
fourth,31
fourth,51
fourth,52
fourth,41
fourth,39
fourth,43
fourth,35
fourth,45
fourth,57
fourth,28
fourth,39
fourth,51
fourth,58
fourth,40
fourth,39
fourth,51
fourth,39
fourth,30
fourth,52
fourth,38
fourth,43
fourth,37
fourth,46
fourth,27
fourth,51
fourth,27
fourth,52
fourth,32
fourth,50
fourth,32
fourth,27
fourth,53
fourth,47
fourth,54
fourth,49
fourth,28
fourth,48
fourth,50
fourth,41
fourth,57
fourth,28
fourth,47
fourth,51
fourth,38
fourth,40
fourth,50
fourth,32
fourth,23
fourth,50
fourth,29
fourth,57
fourth,41
fourth,46
fourth,38
fourth,41
fourth,36
fourth,45
fourth,41
fourth,46
fourth,51
fourth,42
fourth,49
fourth,42
fourth,40
fourth,43
fourth,47
fourth,29
fourth,32
fourth,44
fourth,48
fourth,36
fourth,45
fourth,49
fourth,53
fourth,55
fourth,43
fourth,56
fourth,19
fourth,28
fourth,27
fourth,48
fourth,41
fourth,40
fourth,42
fourth,51
fourth,21
fourth,39
fourth,37
fourth,23
fourth,48
fourth,42
fourth,56
fourth,53
fourth,49
fourth,47
fourth,45
fourth,56
fourth,23
fourth,40
fourth,33
fourth,38
fourth,47
fourth,20
fourth,50
fourth,46
fourth,33
fourth,32
fourth,19
fourth,41
fourth,31
fourth,12
fourth,47
fourth,32
fourth,53
fourth,54
fourth,51
fourth,40
fourth,34
fourth,45
fourth,36
fourth,53
fourth,20
fourth,39
fourth,16
fourth,34
fourth,42
fourth,41
fourth,36
fourth,52
fourth,35
fourth,52
fourth,39
fourth,34
fourth,36
fourth,51
fourth,33
fourth,40
fourth,32
fourth,31
fourth,22
fourth,47
fourth,50
fourth,23
fourth,31
fourth,37
fourth,41
fourth,25
fourth,46
fourth,51
fourth,37
fourth,38
fourth,28
fourth,48
fourth,52
fourth,47
fourth,38
fourth,47
fourth,50
fourth,29
fourth,35
fourth,32
fourth,48
fourth,39
fourth,28
fourth,13
fourth,47
fourth,55
fourth,28
fourth,53
fourth,41
fourth,47
fourth,49
fourth,28
fourth,56
fourth,49
fourth,41
fourth,38
fourth,52
fourth,44
fourth,52
fourth,45
fourth,44
fourth,39
fourth,44
fourth,48
fourth,31
fourth,41
fourth,41
fourth,45
fourth,53
fourth,50
fourth,41
fourth,26
fourth,40
fourth,37
fourth,54
fourth,37
fourth,61
fourth,40
fourth,21
fourth,38
fourth,39
fourth,56
fourth,37
fourth,34
fourth,27
fourth,66
fourth,64
fourth,38
fourth,44
fourth,38
fourth,51
fourth,43
fourth,65
fourth,55
fourth,49
fourth,54
fourth,59
fourth,54
fourth,67
fourth,59
fourth,59
fourth,34
fourth,36
fourth,54
fourth,29
fourth,65
fourth,55
fourth,39
fourth,60
fourth,56
fourth,46
fourth,51
fourth,48
fourth,52
fourth,33
fourth,47
fourth,40
fourth,61
fourth,46
fourth,45
fourth,58
fourth,55
fourth,62
fourth,44
fourth,17
fourth,47
fourth,66
fourth,58
fourth,45
fourth,39
fourth,59
fourth,42
fourth,53
fourth,41
fourth,57
fourth,44
fourth,35
fourth,43
fourth,44
fourth,50
fourth,57
fourth,57
fourth,46
fourth,35
fourth,51
fourth,52
fourth,59
fourth,38
fourth,63
fourth,64
fourth,38
fourth,57
fourth,56
fourth,50
fourth,50
fourth,53
fourth,53
fourth,42
fourth,51
fourth,34
fourth,48
fourth,55
fourth,62
fourth,33
fourth,48
fourth,33
fourth,33
fourth,60
fourth,21
fourth,30
fourth,51
fourth,46
fourth,55
fourth,36
fourth,47
fourth,49
fourth,54
fourth,61
fourth,62
fourth,39
fourth,47
fourth,51
fourth,41
fourth,49
fourth,42
fourth,33
fourth,45
fourth,35
fourth,48
fourth,47
fourth,61
fourth,52
fourth,59
fourth,51
fourth,44
fourth,35
fourth,48
fourth,63
fourth,38
fourth,59
fourth,58
fourth,31
fourth,58
fourth,46
fourth,47
fourth,31
fourth,63
fourth,62
fourth,59
fourth,55
fourth,49
fourth,39
fourth,62
fourth,44
fourth,39
fourth,63
fourth,28
fourth,52
fourth,63
fourth,45
fourth,36
fourth,64
fourth,52
fourth,39
fourth,42
fourth,61
fourth,68
fourth,57
fourth,52
fourth,44
fourth,62
fourth,53
fourth,44
fourth,42
fourth,45
fourth,63
fourth,48
fourth,27
fourth,30
fourth,58
fourth,59
fourth,31
fourth,62
fourth,46
fourth,37
fourth,47
fourth,32
fourth,50
fourth,49
fourth,59
fourth,39
fourth,55
fourth,58
fourth,36
fourth,57
fourth,56
fourth,57
fourth,61
fourth,43
fourth,50
fourth,50
fourth,16
fourth,55
fourth,37
fourth,60
fourth,61
fourth,24
fourth,65
fourth,55
fourth,33
fourth,68
fourth,34
fourth,22
fourth,51
fourth,46
fourth,45
fourth,24
fourth,33
fourth,33
fourth,65
fourth,55
fourth,37
fourth,60
fourth,17
fourth,42
fourth,58
fourth,46
fourth,27
fourth,55
fourth,45
fourth,46
fourth,46
fourth,39
fourth,35
fourth,56
fourth,30
fourth,57
fourth,54
fourth,53
fourth,63
fourth,51
fourth,39
fourth,50
fourth,48
fifth,62
fifth,67
fifth,47
fifth,56
fifth,50
fifth,58
fifth,44
fifth,56
fifth,65
fifth,53
fifth,55
fifth,49
fifth,58
fifth,63
fifth,45
fifth,52
fifth,69
fifth,65
fifth,51
fifth,46
fifth,53
fifth,48
fifth,69
fifth,67
fifth,52
fifth,53
fifth,53
fifth,65
fifth,67
fifth,66
fifth,46
fifth,49
fifth,67
fifth,69
fifth,28
fifth,52
fifth,61
fifth,66
fifth,65
fifth,67
fifth,68
fifth,46
fifth,58
fifth,65
fifth,52
fifth,55
fifth,58
fifth,53
fifth,61
fifth,62
fifth,61
fifth,38
fifth,65
fifth,68
fifth,53
fifth,66
fifth,53
fifth,61
fifth,49
fifth,67
fifth,61
fifth,59
fifth,57
fifth,53
fifth,67
fifth,64
fifth,47
fifth,69
fifth,43
fifth,58
fifth,66
fifth,58
fifth,56
fifth,37
fifth,51
fifth,65
fifth,48
fifth,45
fifth,62
fifth,55
fifth,59
fifth,69
fifth,64
fifth,62
fifth,61
fifth,63
fifth,62
fifth,46
fifth,67
fifth,68
fifth,65
fifth,54
fifth,69
fifth,64
fifth,60
fifth,68
fifth,23
fifth,50
fifth,42
fifth,57
fifth,65
fifth,65
fifth,68
fifth,67
fifth,57
fifth,69
fifth,63
fifth,41
fifth,47
fifth,54
fifth,43
fifth,60
fifth,66
fifth,42
fifth,69
fifth,63
fifth,32
fifth,67
fifth,62
fifth,68
fifth,51
fifth,47
fifth,62
fifth,56
fifth,46
fifth,68
fifth,66
fifth,57
fifth,60
fifth,60
fifth,67
fifth,67
fifth,68
fifth,68
fifth,59
fifth,56
fifth,54
fifth,62
fifth,60
fifth,46
fifth,67
fifth,68
fifth,64
fifth,63
fifth,66
fifth,61
fifth,68
fifth,55
fifth,66
fifth,57
fifth,63
fifth,66
fifth,60
fifth,64
fifth,58
fifth,67
fifth,59
fifth,69
fifth,65
fifth,67
fifth,65
fifth,65
fifth,54
fifth,53
fifth,55
fifth,53
fifth,68
fifth,51
fifth,67
fifth,57
fifth,56
fifth,59
fifth,57
fifth,56
fifth,47
fifth,32
fifth,60
fifth,69
fifth,59
fifth,59
fifth,68
fifth,67
fifth,61
fifth,56
fifth,69
fifth,68
fifth,68
fifth,68
fifth,65
fifth,61
fifth,62
fifth,54
fifth,66
fifth,38
fifth,49
fifth,57
fifth,60
fifth,38
fifth,52
fifth,61
fifth,66
fifth,57
fifth,67
fifth,68
fifth,40
fifth,66
fifth,61
fifth,66
fifth,62
fifth,65
fifth,65
fifth,66
fifth,49
fifth,67
fifth,60
fifth,49
fifth,68
fifth,62
fifth,66
fifth,63
fifth,67
fifth,69
fifth,59
fifth,46
fifth,68
fifth,59
fifth,32
fifth,52
fifth,64
fifth,69
fifth,39
fifth,63
fifth,65
fifth,54
fifth,32
fifth,50
fifth,66
fifth,61
fifth,58
fifth,59
fifth,69
fifth,56
fifth,62
fifth,67
fifth,59
fifth,43
fifth,55
fifth,64
fifth,61
fifth,38
fifth,58
fifth,69
fifth,58
fifth,55
fifth,68
fifth,69
fifth,57
fifth,50
fifth,65
fifth,47
fifth,27
fifth,56
fifth,69
fifth,69
fifth,65
fifth,60
fifth,67
fifth,66
fifth,64
fifth,50
fifth,69
fifth,51
fifth,34
fifth,64
fifth,33
fifth,60
fifth,66
fifth,67
fifth,63
fifth,69
fifth,67
fifth,48
fifth,68
fifth,63
fifth,58
fifth,58
fifth,65
fifth,64
fifth,68
fifth,36
fifth,67
fifth,47
fifth,64
fifth,44
fifth,61
fifth,63
fifth,56
fifth,56
fifth,65
fifth,55
fifth,36
fifth,56
fifth,64
fifth,68
fifth,49
fifth,64
fifth,56
fifth,51
fifth,56
fifth,69
fifth,61
fifth,50
fifth,50
fifth,64
fifth,69
fifth,23
fifth,62
fifth,67
fifth,39
fifth,64
fifth,61
fifth,53
fifth,56
fifth,61
fifth,66
fifth,68
fifth,69
fifth,51
fifth,40
fifth,69
fifth,63
fifth,36
fifth,62
fifth,69
fifth,59
fifth,47
fifth,53
fifth,59
fifth,54
fifth,64
fifth,58
fifth,57
fifth,69
fifth,50
fifth,33
fifth,42
fifth,58
fifth,60
fifth,44
fifth,69
fifth,63
fifth,58
fifth,60
fifth,62
fifth,58
fifth,63
fifth,54
fifth,61
fifth,39
fifth,50
fifth,56
fifth,34
fifth,51
fifth,44
fifth,66
fifth,57
fifth,69
fifth,69
fifth,69
fifth,69
fifth,65
fifth,66
fifth,64
fifth,25
fifth,57
fifth,68
fifth,31
fifth,63
fifth,59
fifth,67
fifth,62
fifth,69
fifth,66
fifth,26
fifth,68
fifth,64
fifth,49
fifth,62
fifth,45
fifth,69
fifth,48
fifth,69
fifth,60
fifth,63
fifth,66
fifth,61
fifth,59
fifth,68
fifth,53
fifth,68
fifth,58
fifth,68
fifth,62
fifth,63
fifth,69
fifth,54
fifth,60
fifth,67
fifth,62
fifth,54
fifth,48
fifth,68
fifth,62
fifth,59
fifth,66
fifth,62
fifth,51
fifth,63
fifth,52
fifth,61
fifth,68
fifth,60
fifth,54
fifth,65
fifth,62
fifth,48
fifth,42
fifth,67
fifth,53
fifth,57
fifth,59
fifth,63
fifth,55
fifth,65
fifth,61
fifth,33
fifth,42
fifth,64
fifth,66
fifth,52
fifth,64
fifth,69
fifth,68
fifth,67
fifth,58
fifth,69
fifth,43
fifth,63
fifth,42
fifth,67
fifth,58
fifth,52
fifth,68
fifth,48
fifth,66
fifth,66
fifth,64
fifth,33
fifth,45
fifth,44
fifth,61
fifth,61
fifth,65
fifth,52
